street_ID,D_i,Event_Count,D_norm,A_i,CACL,Quad,Color
1001,133097.0,2465,0.20561247268251956,0.44682181581695296,0.3031041708697144,Q2,#1f77b4
1002,55748.020000000004,117,0.08611743330641901,0.050294157595375186,0.06581188162043576,Q3,#7f7f7f
1003,15597.2,58,0.024089158119303074,0.0020662919286309083,0.0070551564822780265,Q3,#7f7f7f
1004,306141.65,4504,0.47294602078584996,0.20435664524959968,0.31088528783450614,Q4,#d62728
1006,6461.19,158,0.009975101609566958,0.2997128504143584,0.05467783953830077,Q3,#7f7f7f
1007,76.77000000000001,4,0.00011192669383356429,0.037321592644421114,0.002043840129093547,Q3,#7f7f7f
1009,76159.29,824,0.11765043493573872,0.16713616544059204,0.1402271106369137,Q3,#7f7f7f
1010,131629.52,225,0.2033453893882907,0.010881953032429045,0.04704035476784136,Q3,#7f7f7f
1011,215837.02,1930,0.33343603219008316,0.29934747716623333,0.3159323266657281,Q4,#d62728
1012,1914.21,10,0.0029505544966982205,0.27681279040336537,0.028578859730021278,Q3,#7f7f7f
1013,182622.29,2601,0.28212319691783333,0.28192374733017744,0.2820234544924325,Q3,#7f7f7f
1014,69236.95,248,0.10695623714703155,0.02676007582468962,0.05349913098339121,Q3,#7f7f7f
1015,53059.37,1164,0.0819637865793574,0.35979866864852994,0.17172786986579971,Q2,#1f77b4
1016,63814.63,1417,0.09857939310965941,0.37343707402052767,0.19186766304302186,Q2,#1f77b4
1017,74112.98,196,0.11448912764990628,0.02608164691164361,0.05464489914518051,Q3,#7f7f7f
1018,8294.2,202,0.012806885585603698,0.4229903779901162,0.07360155823575122,Q2,#1f77b4
1019,91689.3,783,0.14164246632983385,0.05800047735330974,0.09063846126579193,Q3,#7f7f7f
1020,37047.25,895,0.05722695217126505,0.3855504311884475,0.1485391399100988,Q2,#1f77b4
1021,45997.29,387,0.07105370699359981,0.25298249814633744,0.13407216078589457,Q3,#7f7f7f
1023,10124.38,273,0.01563429754585646,0.0428276796216489,0.025876257194646063,Q3,#7f7f7f
1024,6875.34,194,0.010614914449472695,0.40653905338832363,0.06569153120522209,Q2,#1f77b4
1025,33681.35,511,0.05202703417575926,0.2946240353940277,0.12380797534264577,Q3,#7f7f7f
1027,69251.04000000001,698,0.10697800453303728,0.19904648639909112,0.14592325354201474,Q3,#7f7f7f
1028,1451.18,5,0.002235227829400011,0.3575712495674993,0.02827106662343342,Q2,#1f77b4
1029,22902.14,60,0.03537442772389323,0.026808099827225304,0.03079482407407284,Q3,#7f7f7f
1030,382305.47,3706,0.5906101279264254,0.12770828749191274,0.2746375939540384,Q4,#d62728
1031,31670.87,311,0.04892108000849212,0.11887764924097363,0.07626023203307956,Q3,#7f7f7f
1032,207663.22,2943,0.3208084764957176,0.17154675620683751,0.23459252653590187,Q4,#d62728
1033,4451.41,125,0.006870228859631544,0.46024840807366924,0.05623176945239406,Q2,#1f77b4
1034,3213.82,74,0.004958298465960311,0.9920710148151568,0.07013547027632794,Q2,#1f77b4
1035,3136.02,93,0.00483810665394856,0.9017510017793406,0.06605124920781899,Q2,#1f77b4
1036,647653.22,3127,1.0,0.14426755839184602,0.37982569474937583,Q4,#d62728
1037,10157.89,185,0.01568606653840805,0.08260595083461075,0.03599670042184656,Q3,#7f7f7f
1038,21776.27,563,0.03363509153636535,0.2936579957309111,0.09938417161095009,Q3,#7f7f7f
1039,198826.61000000002,1980,0.3071569576275794,0.2293698777573504,0.26542899959001753,Q4,#d62728
1040,96336.77,1318,0.14882225862508128,0.19991155900338198,0.17248562182438426,Q3,#7f7f7f
1041,22917.85,193,0.035398697818580946,0.20503460669855786,0.0851936504962303,Q3,#7f7f7f
1042,19393.07,179,0.029953328986411582,0.1682367245507009,0.07098767469119868,Q3,#7f7f7f
1043,676502.61,3038,1.0,0.06095897567804076,0.24689871542403935,Q4,#d62728
1044,117592.56,225,0.18165994391867044,0.008179162459696146,0.03854641609449699,Q3,#7f7f7f
1045,10150.91,87,0.015675283262728847,0.021930137971630233,0.01854079622605323,Q3,#7f7f7f
1046,129744.11,1601,0.20043265360056484,0.1586197316511334,0.1783047215534299,Q3,#7f7f7f
1047,51720.92,699,0.07989603939700358,0.2103036864790447,0.12962419380757917,Q3,#7f7f7f
1049,40472.42,179,0.0625184353171299,0.2546212372606554,0.12616862269220455,Q3,#7f7f7f
1050,252238.02,1845,0.38967127832169907,0.17307932242476423,0.2596999053144059,Q4,#d62728
1051,92603.06,1989,0.14305411761702994,0.15238607849273633,0.14764638836049415,Q3,#7f7f7f
1052,10707.72,273,0.01653548895484019,0.6094077740414461,0.10038354206071869,Q2,#1f77b4
1053,37732.35,698,0.05828535076264358,0.16787890761372434,0.09891855749006533,Q3,#7f7f7f
1054,16888.649999999998,17,0.02608429585224105,0.2715314180248528,0.0841588132101374,Q3,#7f7f7f
1055,50324.36,146,0.07773851912729755,0.062478144187098426,0.06969188192986903,Q3,#7f7f7f
1056,29796.989999999998,315,0.04602615670910166,0.6986497301419896,0.17932139293538515,Q2,#1f77b4
1057,17440.98,64,0.026937580473429354,0.22620088171384314,0.07805962115157442,Q3,#7f7f7f
1058,228959.94999999998,507,0.35370940925439365,0.07344354778306754,0.16117590980011762,Q4,#d62728
1059,59115.74,185,0.09132016298698727,0.044461480200263845,0.06371993109326785,Q3,#7f7f7f
1060,5227.51,152,0.008069211704134363,0.40987230785972667,0.05750953332954693,Q2,#1f77b4
1061,20643.96,462,0.031885806309385596,0.07507905776784017,0.048928072656467106,Q3,#7f7f7f
1062,35944.78,225,0.05552376622025484,0.11414742547491319,0.07961089728619469,Q3,#7f7f7f
1063,18600.0,523,0.02872812949602394,0.9225085276797216,0.16279417816485153,Q2,#1f77b4
1064,7897.76,229,0.012194432604190609,0.09932503925996389,0.03480247831928376,Q3,#7f7f7f
1065,126043.09,125,0.1947150147819051,0.012143605965265331,0.04862656079790416,Q3,#7f7f7f
1066,183773.66,1898,0.28390192759387406,0.24417359290504628,0.26328948648448636,Q3,#7f7f7f
1067,5027.14,138,0.00775966371733752,0.30670354649549963,0.048784386659256766,Q2,#1f77b4
1068,38930.75,629,0.06013673723455723,0.36618296380059767,0.14839490784338902,Q2,#1f77b4
1069,6131.1,188,0.009465151542382401,0.5278403843613249,0.07068301937643377,Q2,#1f77b4
1070,4.32,1,0.0,0.3726029164643937,0.0,Q2,#1f77b4
1071,54492.44,1467,0.08417771048732244,0.6552406542539762,0.23485454667371236,Q2,#1f77b4
1072,142174.69,450,0.21963643167970393,0.06134330625413905,0.11607422148390385,Q3,#7f7f7f
1073,110953.19,386,0.1714029013619037,0.15987425157931398,0.1655382450485607,Q3,#7f7f7f
1074,262827.18,2973,0.4060302799680017,0.1612707928264212,0.2558922139534015,Q4,#d62728
1075,31116.59,248,0.04806478286759402,0.2551479748269685,0.11074128412279038,Q3,#7f7f7f
1076,3871.62,101,0.005974521781401561,0.3269802721612715,0.0441989904648978,Q2,#1f77b4
1077,39351.97,550,0.06078747238951339,0.18678784252583708,0.1065568431412835,Q3,#7f7f7f
1078,10.38,1,9.361984328935812e-06,0.5992098507890593,0.002368500207479649,Q2,#1f77b4
1079,95739.97,648,0.14790027310569034,0.10408968353536671,0.1240761565425268,Q3,#7f7f7f
1080,10708.2,271,0.016536230498153375,0.3375607812880162,0.07471266884883296,Q2,#1f77b4
1081,2271.71,57,0.003502849776829334,0.019078205085156685,0.008174844733990081,Q3,#7f7f7f
1082,63123.46,544,0.09751161708513291,0.14151536444474727,0.11747081352148384,Q3,#7f7f7f
1083,33920.740000000005,66,0.05239686345439029,0.2324681849451373,0.11036577252056141,Q3,#7f7f7f
1084,483560.38,5485,0.7470370059211129,0.13962811531830996,0.32296651406887084,Q4,#d62728
1085,16867.0,425,0.026050849159052692,0.2376892642139142,0.07868930784269804,Q3,#7f7f7f
1086,9686.97,243,0.014958550752899393,0.44013128179936595,0.08114016340095995,Q2,#1f77b4
1087,67631.52,132,0.10447603739435772,0.020386565697558697,0.04615092198603049,Q3,#7f7f7f
1088,91797.91,1034,0.14181025595326055,0.28121931265434275,0.19969923061071707,Q3,#7f7f7f
1089,170690.9,301,0.26369060843558556,0.00748438253512464,0.044424783448562655,Q3,#7f7f7f
1090,4739.7,113,0.0073156028632930786,0.3350582696790856,0.0495091227657524,Q2,#1f77b4
1091,452085.85,5619,0.698412574135532,0.25567614822068696,0.4225724042384545,Q4,#d62728
1092,27216.27,63,0.04203924908577308,0.010962266019175413,0.021467310770672262,Q3,#7f7f7f
1093,769.08,18,0.0011814638837288696,0.29430331816742156,0.018646949918857375,Q3,#7f7f7f
1094,62443.82,88,0.09646165354894183,0.026178973367175316,0.050252035373817845,Q3,#7f7f7f
1095,11308.06,158,0.01746294335616582,0.023926364194153983,0.020440761792103176,Q3,#7f7f7f
1096,46609.65,923,0.07199973087539308,0.27751972472820147,0.14135538720913213,Q3,#7f7f7f
1097,107870.74,1221,0.16664088014165152,0.13112917591984957,0.1478224654358504,Q3,#7f7f7f
1098,22181.18,594,0.03426062966749231,0.13785142154914828,0.06872318751944455,Q3,#7f7f7f
1099,24526.88,158,0.03788445914610366,0.31505741088243305,0.10925099363965862,Q2,#1f77b4
1100,154682.94,1816,0.23896020073620744,0.4359999345354591,0.32277954067376485,Q2,#1f77b4
1101,32422.31,530,0.05008196606528017,0.6791942658446176,0.18443260062625322,Q2,#1f77b4
1102,410579.83,6047,0.6342906749941961,0.16626063137695427,0.3247423103031842,Q4,#d62728
1103,112503.06,988,0.1737972674760766,0.046443478722798234,0.08984291677202848,Q3,#7f7f7f
1104,424698.44,1124,0.6561022600711526,0.1803204578428083,0.34396025922732926,Q4,#d62728
1105,17119.780000000002,113,0.02644136440635771,0.5926446278417911,0.12518119894071572,Q2,#1f77b4
1106,20652.34,288,0.03189875241972825,0.32829183541025914,0.10233327894272728,Q2,#1f77b4
